Category,Precision,Recall,F1-Score,Support
Community,0.47950998414597545,0.11748964326944217,0.18861047417285998,4075.8
Entertainment,0.5070889894419306,0.0033671839132619493,0.00668051631486322,1833.6
Food,0.4805248031419799,0.5340445935213757,0.5052765796833965,11116.4
Nightlife,0.5737549147078221,0.21412908688179888,0.3113118512305376,1089.0
Outdoors,0.33834444423965127,0.022086467089593775,0.04128124645179321,2372.4
Shopping,0.3886363327509637,0.690324882901148,0.4970792197994286,10257.8
Travel,0.5015333549031791,0.0497286414467269,0.09025092220813073,1584.4
macro avg,0.46705611761878607,0.2330243570033353,0.23435582998014426,
