Category,Task,Precision,Recall,F1-Score,Support
Community,next,0.3485067935719705,0.1342312187865264,0.19381316763515716,75288
Entertainment,next,0.34872979214780603,0.007643634522905594,0.014959381810976818,39510
Food,next,0.372781720241835,0.7413182176615769,0.4960953160926433,195294
Nightlife,next,0.29427254772876893,0.03402603334094542,0.06099890829694323,26274
Outdoors,next,0.2549906649432716,0.08001171672562583,0.12180355703431835,44381
Shopping,next,0.36680617778825747,0.25707675464266777,0.3022917822138916,145229
Travel,next,0.5236888321226152,0.4294200432021994,0.4718925334484247,61108
macro avg,next,0.35853950407778923,0.24053251698320674,0.23740780664747932,587084
weighted avg,next,0.3698613077555305,0.3801909096483638,0.3267227189903074,587084
Overall Accuracy,next,,,0.3801909096483638,
