Category,Task,Precision,Recall,F1-Score,Support
Community,category,0.4591651542649728,0.1247534516765286,0.19620007754943777,4056
Entertainment,category,0.0,0.0,0.0,1854
Food,category,0.4942108470444851,0.5070560914612362,0.5005510734911608,11196
Nightlife,category,0.5761124121779859,0.22548120989917506,0.3241106719367589,1091
Outdoors,category,0.2926829268292683,0.01517706576728499,0.028857715430861724,2372
Shopping,category,0.37915415810817926,0.7115745774439063,0.4947086311159978,10117
Travel,category,0.5123152709359606,0.06329884357881924,0.11267605633802817,1643
macro avg,category,0.3876629670515503,0.2353344628324215,0.2367291751231779,32329
weighted avg,category,0.41436412079130885,0.4258715085526926,0.37155824674430055,32329
Overall Accuracy,category,,,0.4258715085526926,
