Category,Task,Precision,Recall,F1-Score,Support
Community,category,0.49641760491299897,0.11916461916461916,0.19219338220725182,4070
Entertainment,category,0.6666666666666666,0.0011148272017837235,0.0022259321090706734,1794
Food,category,0.4822305928594825,0.5288254310344828,0.5044543429844098,11136
Nightlife,category,0.5813397129186603,0.2219178082191781,0.3212161269001983,1095
Outdoors,category,0.3111111111111111,0.017654476670870115,0.03341288782816229,2379
Shopping,category,0.384231645157792,0.693414228398082,0.4944698370608143,10219
Travel,category,0.5140845070422535,0.04462102689486552,0.08211473565804274,1636
macro avg,category,0.4908688343812807,0.23238748822626878,0.2328696063925643,32329
weighted avg,category,0.455651127113334,0.4274799715425779,0.37187577230416996,32329
Overall Accuracy,category,,,0.4274799715425779,
