Category,Precision,Recall,F1-Score,Support
Community,0.3405464530828761,0.14147551470776912,0.19895136933377586,72805.6
Entertainment,0.37956142204122295,0.005574914087291275,0.010915120624676507,40200.2
Food,0.3716341462304804,0.7265337510974269,0.4916161618716254,190102.2
Nightlife,0.31759727402294735,0.036172129986814607,0.06468961438891917,27174.0
Outdoors,0.2953769729073818,0.08525623752030169,0.13178663780056238,43645.399999999994
Shopping,0.35539970918273794,0.2726517512371831,0.30796829362225503,137810.2
Travel,0.5281296243242444,0.42164598132726483,0.4686596237956717,62380.99999999999
macro avg,0.3697493716845558,0.24133003999486452,0.2392266887767837,
