Category,Task,Precision,Recall,F1-Score,Support
Community,category,0.46529814271749753,0.1172991621488418,0.1873646919897658,4058
Entertainment,category,0.47058823529411764,0.004381161007667032,0.008681497558328812,1826
Food,category,0.48263442243375354,0.510522496371553,0.4961869076482257,11024
Nightlife,category,0.5548098434004475,0.22627737226277372,0.321451717433571,1096
Outdoors,category,0.39622641509433965,0.01766933108960875,0.03383004430124849,2377
Shopping,category,0.390464599428511,0.7098605098605099,0.5038063701225549,10395
Travel,category,0.4887640449438202,0.055984555984555984,0.10046189376443418,1554
macro avg,category,0.46411224333035533,0.23457065553221576,0.235969017545447,32330
weighted avg,category,0.44653128573005146,0.4289514382926075,0.37340095584581406,32330
Overall Accuracy,category,,,0.4289514382926075,
