Category,Task,Precision,Recall,F1-Score,Support
Community,next,0.35097773305918895,0.10909560653241049,0.16645228215767635,73541
Entertainment,next,0.375,0.0004961723844627162,0.0009910335063709297,42324
Food,next,0.3660184631798357,0.7526127096007557,0.4925129104938887,196922
Nightlife,next,0.34274193548387094,0.02692713833157339,0.049931466614450755,28410
Outdoors,next,0.3120019319005071,0.11075867981140163,0.16348222194103504,46660
Shopping,next,0.3748328455977829,0.2622366244542669,0.3085845572104377,147508
Travel,next,0.5233422911068059,0.4022029746561855,0.4548450173812283,62461
macro avg,next,0.3778450286182845,0.2377614151101509,0.23382849847215542,597826
weighted avg,next,0.3780940876376066,0.37801467316577064,0.3215735650214114,597826
Overall Accuracy,next,,,0.37801467316577064,
