Category,Task,Precision,Recall,F1-Score,Support
Community,next,0.30792231909603096,0.14498918101787356,0.19714847095571567,67474
Entertainment,next,0.4086115992970123,0.01205318955908655,0.0234156658357882,38579
Food,next,0.3732525221929682,0.7196920346826003,0.491565405504925,178072
Nightlife,next,0.298324913586812,0.04361685585445498,0.07610649482787858,25724
Outdoors,next,0.28733176671651356,0.06545171415362905,0.10661699133984662,41099
Shopping,next,0.34034965034965037,0.27137099343656407,0.3019712467426566,125544
Travel,next,0.5463602133668026,0.4354213553388347,0.4846228778179794,63984
macro avg,next,0.3660218549436843,0.24179933200614903,0.2402067361463986,540476
weighted avg,next,0.3703711678832333,0.37771519919478386,0.32748574849949347,540476
Overall Accuracy,next,,,0.37771519919478386,
