Category,Task,Precision,Recall,F1-Score,Support
Community,category,0.47921225382932164,0.10693359375,0.17485029940119762,4096
Entertainment,category,0.6923076923076923,0.004980630879911455,0.00989010989010989,1807
Food,category,0.4813146875246899,0.5452429965094424,0.5112882920688208,11173
Nightlife,category,0.5612745098039216,0.2138188608776844,0.3096686950642326,1071
Outdoors,category,0.2955665024630542,0.02552105487026797,0.04698512137823023,2351
Shopping,category,0.39360933592664626,0.6842817119118926,0.49975305157694205,10351
Travel,category,0.5214285714285715,0.04929101958136394,0.09006785934608266,1481
macro avg,category,0.4892447933262711,0.2328671240543661,0.23464334696080227,32330
weighted avg,category,0.4557398760640684,0.4325394370553665,0.3772079762308121,32330
Overall Accuracy,category,,,0.4325394370553665,
