Category,Task,Precision,Recall,F1-Score,Support
Community,next,0.35686995489931345,0.16801460643765215,0.22846686467250876,73940
Entertainment,next,0.3302325581395349,0.0036228186549647923,0.007167011558067935,39196
Food,next,0.37520142626941405,0.698309555081704,0.48813052795129175,188057
Nightlife,next,0.34161131966503033,0.04470223700120919,0.07905904367293748,26464
Outdoors,next,0.29679343773303507,0.07679506041822436,0.12201804978060511,41461
Shopping,next,0.3459463534773066,0.30659410821405236,0.3250836383673791,134696
Travel,next,0.5367928918038599,0.40291383238811185,0.46031655551122,60127
macro avg,next,0.3690639917124992,0.2429931740279884,0.2443202416448586,563941
weighted avg,next,0.37257284955868497,0.37907688924905264,0.33263452920486597,563941
Overall Accuracy,next,,,0.37907688924905264,
