,precision,recall,f1-score,support,category,accuracy,Model
0,0.43285528031290743,0.21791926485067278,0.2898930364549225,21329.0,Shopping,0.47825399335758345,HAVANA
1,0.4322121795821603,0.13564918154761904,0.2064913460517467,21504.0,Shopping,0.4674152564710844,HAVANA
2,0.4509741969457609,0.19977605673229448,0.2768922370590708,21434.0,Shopping,0.48041541462386,HAVANA
3,0.4443133205487535,0.14055718885622287,0.2135564378899603,21429.0,Shopping,0.46568611945806315,HAVANA
4,0.46637112096263456,0.17161500815660685,0.25090289608177174,21455.0,Shopping,0.4724383711857616,HAVANA
5,0.391812865497076,0.042371541501976286,0.07647310600656299,6325.0,Community,0.47825399335758345,HAVANA
6,0.4124783362218371,0.03823293172690763,0.06997941781828874,6225.0,Community,0.4674152564710844,HAVANA
7,0.42283298097251587,0.03232062055591468,0.06005104338687885,6188.0,Community,0.48041541462386,HAVANA
8,0.3870967741935484,0.05382830626450116,0.09451385116784357,6465.0,Community,0.46568611945806315,HAVANA
9,0.4980544747081712,0.061010486177311724,0.10870488322717622,6294.0,Community,0.4724383711857616,HAVANA
10,0.42143341266964046,0.8554471284594465,0.5646792962892564,31255.0,Food,0.47825399335758345,HAVANA
11,0.40088408644400786,0.9192328731859575,0.5582926996101117,31077.0,Food,0.4674152564710844,HAVANA
12,0.4234227311150388,0.87518663235808,0.5707242293669208,31479.0,Food,0.48041541462386,HAVANA
13,0.4102077714217967,0.8849104859335039,0.5605621823042184,31280.0,Food,0.46568611945806315,HAVANA
14,0.4097035844217809,0.8849312421500113,0.5600953943680632,31051.0,Food,0.4724383711857616,HAVANA
15,0.6656791248860529,0.4919164701919838,0.5657563432113113,11876.0,Entertainment,0.47825399335758345,HAVANA
16,0.7655986509274874,0.42889041566472,0.5497880772829856,11644.0,Entertainment,0.4674152564710844,HAVANA
17,0.6195407474110761,0.4692242114236999,0.5340060153293877,11730.0,Entertainment,0.48041541462386,HAVANA
18,0.6613377218761021,0.4847910383455407,0.559466984884646,11605.0,Entertainment,0.46568611945806315,HAVANA
19,0.6239085772984078,0.41913223496937807,0.5014189154326402,11593.0,Entertainment,0.4724383711857616,HAVANA
20,0.8145836288835295,0.4960262612301313,0.6165906040268456,11576.0,Travel,0.47825399335758345,HAVANA
21,0.8480321746624533,0.5072164948453608,0.6347704547898075,11640.0,Travel,0.4674152564710844,HAVANA
22,0.849993106300841,0.5293208551558342,0.6523809523809524,11647.0,Travel,0.48041541462386,HAVANA
23,0.7440127727514635,0.48016486347243686,0.58365515081933,11646.0,Travel,0.46568611945806315,HAVANA
24,0.8522303549233531,0.512924943894938,0.6404109589041096,12031.0,Travel,0.4724383711857616,HAVANA
25,0.47843877872206486,0.23940778075287447,0.3191266008817972,6349.0,Outdoors,0.47825399335758345,HAVANA
26,0.6327827191867853,0.15401267975877533,0.24773038179330928,6467.0,Outdoors,0.4674152564710844,HAVANA
27,0.48453970484891074,0.22209695603156707,0.3045831032578686,6209.0,Outdoors,0.48041541462386,HAVANA
28,0.5025400547088706,0.205103668261563,0.29131271944727605,6270.0,Outdoors,0.46568611945806315,HAVANA
29,0.5927565392354125,0.230841560883874,0.33228062260320324,6381.0,Outdoors,0.4724383711857616,HAVANA
30,0.6165644171779141,0.09828850855745722,0.1695487136229439,6135.0,Nightlife,0.47825399335758345,HAVANA
31,0.5966666666666667,0.1138676844783715,0.19123931623931623,6288.0,Nightlife,0.4674152564710844,HAVANA
32,0.5850422195416164,0.07875933744722312,0.13882925432946902,6158.0,Nightlife,0.48041541462386,HAVANA
33,0.5636856368563685,0.10146341463414635,0.17197188921041753,6150.0,Nightlife,0.46568611945806315,HAVANA
34,0.4767879548306148,0.12589034288553919,0.1991875245708295,6037.0,Nightlife,0.4724383711857616,HAVANA
