,HAVANNA Precision,HAVANNA Recall,HAVANNA F1-Score,POI_RGNN Precision,POI_RGNN Recall,POI_RGNN F1-Score,Next_POI Precision,Next_POI Recall,Next_POI F1-Score
Community,0.6125510183830575,0.06656989452982676,0.11851980538843372,0.4170848242325536,0.3653156507932628,0.3892378080978104,0.3405464530828761,0.1414755147077691,0.1989513693337758
Entertainment,0.7690999836132273,0.32287727395437493,0.45367427862247345,0.3756737405162201,0.1043378250195418,0.163249922392213,0.3795614220412229,0.0055749140872912,0.0109151206246765
Food,0.4378220109360275,0.9486063191808336,0.5990666564204719,0.4334659736406528,0.6988587008180346,0.5350258712315978,0.3716341462304804,0.7265337510974269,0.4916161618716254
Nightlife,0.5313124222243482,0.06913263253764847,0.12179428678188813,0.4128838498219343,0.0831019565165701,0.1382991885886399,0.3175972740229473,0.0361721299868146,0.0646896143889191
Outdoors,0.8433871078040832,0.2081779401912376,0.3326963933092462,0.3507497395763698,0.1361717396165212,0.1961221919324897,0.2953769729073818,0.0852562375203016,0.1317866378005623
Shopping,0.44898815751678267,0.07231191828180292,0.12328366642507241,0.4233428923699197,0.3826367950827744,0.4015824526692209,0.3553997091827379,0.2726517512371831,0.307968293622255
Travel,0.761350881816957,0.4386289725084329,0.5549117556375507,0.3945536128504752,0.1953146495673872,0.2610714532681749,0.5281296243242444,0.4216459813272648,0.4686596237956717
macro avg,,,,,,,0.3697493716845558,0.2413300399948645,0.2392266887767837
