,fold,Model,accuracy,macro avg,weighted avg
0,1,HAVANA-GAT,0.4506165382044281,0.25481872067368944,0.3341403878980314
1,2,HAVANA-GAT,0.44592504892840745,0.24152884539751812,0.32387889668284997
2,3,HAVANA-GAT,0.4550784868034246,0.26735503262915855,0.34206917841442946
3,4,HAVANA-GAT,0.44906350299413256,0.25533646330353665,0.3354307201002568
4,5,HAVANA-GAT,0.44869703888949297,0.2564060979982697,0.3415075346426378
