,fold,Model,accuracy,macro avg,weighted avg
0,1,HAVANA-ARMA,0.4611915174652266,0.29355900777993227,0.35962589883477447
1,2,HAVANA-ARMA,0.45812292104606117,0.2834448769767373,0.3533073707070542
2,3,HAVANA-ARMA,0.4590934351366371,0.2916187460365562,0.35867467388707824
3,4,HAVANA-ARMA,0.4574035816832381,0.2885096304106513,0.3560224392097873
4,5,HAVANA-ARMA,0.463009274360802,0.29633991119103925,0.36607981122987965
