,precision,recall,f1-score,support,category,accuracy,Model
0,0.4146192893401015,0.03943836066207003,0.07202567810659236,51777.0,Shopping,0.4611915174652266,HAVANA-ARMA
1,0.3781986701591779,0.036448017398733934,0.06648837250491489,51498.0,Shopping,0.45812292104606117,HAVANA-ARMA
2,0.3599727937425608,0.04113475177304964,0.07383252537230146,51465.0,Shopping,0.4590934351366371,HAVANA-ARMA
3,0.3810826656243893,0.03774461413390628,0.06868615709756956,51663.0,Shopping,0.4574035816832381,HAVANA-ARMA
4,0.39906347554630595,0.05927242518498484,0.103214520008747,51761.0,Shopping,0.463009274360802,HAVANA-ARMA
5,0.5635461872287663,0.040349786931818184,0.07530756803777805,22528.0,Community,0.4611915174652266,HAVANA-ARMA
6,0.5270785659801678,0.030849591499620518,0.05828764234500211,22399.0,Community,0.45812292104606117,HAVANA-ARMA
7,0.5822085889570552,0.04185964447973182,0.07810378173737706,22671.0,Community,0.4590934351366371,HAVANA-ARMA
8,0.5164835164835165,0.03133333333333333,0.0590823381521056,22500.0,Community,0.4574035816832381,HAVANA-ARMA
9,0.478231748158071,0.03231207856270082,0.060534124629080116,22097.0,Community,0.463009274360802,HAVANA-ARMA
10,0.42563860110104423,0.9700677593816698,0.5916692733758622,96518.0,Food,0.4611915174652266,HAVANA-ARMA
11,0.4244300159275185,0.973768115942029,0.5911843358084901,96600.0,Food,0.45812292104606117,HAVANA-ARMA
12,0.4260597049067826,0.9635186028224972,0.5908504030428866,96652.0,Food,0.4590934351366371,HAVANA-ARMA
13,0.425796031168641,0.9643019978446489,0.5907438971360738,96504.0,Food,0.4574035816832381,HAVANA-ARMA
14,0.4289098111943005,0.9642514370633339,0.5937243837810016,96899.0,Food,0.463009274360802,HAVANA-ARMA
15,0.8288786968211292,0.2502506804182782,0.38443482725739014,20943.0,Entertainment,0.4611915174652266,HAVANA-ARMA
16,0.9018008311528398,0.2782844115132516,0.42532031505208523,21054.0,Entertainment,0.45812292104606117,HAVANA-ARMA
17,0.8511922728644733,0.27098448085331284,0.41109369874995444,20813.0,Entertainment,0.4590934351366371,HAVANA-ARMA
18,0.6974236069502696,0.27861553927904636,0.39816651843743583,20889.0,Entertainment,0.4574035816832381,HAVANA-ARMA
19,0.8086615361400332,0.2574956755717855,0.3906119027661358,20812.0,Entertainment,0.463009274360802,HAVANA-ARMA
20,0.8703645670113862,0.40290135396518373,0.5508214061415396,20680.0,Travel,0.4611915174652266,HAVANA-ARMA
21,0.9291395516992046,0.37757100881488737,0.5369454697402326,20420.0,Travel,0.45812292104606117,HAVANA-ARMA
22,0.8700815862852421,0.40462011334165787,0.552368464186199,20822.0,Travel,0.4590934351366371,HAVANA-ARMA
23,0.9444104322272561,0.369378861165653,0.5310520517763702,20881.0,Travel,0.4574035816832381,HAVANA-ARMA
24,0.9167034909412285,0.40071469963299206,0.5576612903225806,20708.0,Travel,0.463009274360802,HAVANA-ARMA
25,0.8153183775209608,0.17580377210984072,0.2892399212186985,20466.0,Outdoors,0.4611915174652266,HAVANA-ARMA
26,0.6709315375982042,0.14499151103565366,0.23845233346629438,20615.0,Outdoors,0.45812292104606117,HAVANA-ARMA
27,0.6880668257756564,0.14215976331360947,0.23563547200653862,20280.0,Outdoors,0.4590934351366371,HAVANA-ARMA
28,0.6773125608568646,0.1692622153007592,0.2708406338823346,20548.0,Outdoors,0.4574035816832381,HAVANA-ARMA
29,0.83841059602649,0.15487375220199648,0.2614514063855272,20436.0,Outdoors,0.463009274360802,HAVANA-ARMA
30,0.5146471371504661,0.050162232316677484,0.09141438032166509,15410.0,Nightlife,0.4611915174652266,HAVANA-ARMA
31,0.4875962360992301,0.03622267412302999,0.06743566992014197,15736.0,Nightlife,0.45812292104606117,HAVANA-ARMA
32,0.4968336211859528,0.0552532172354184,0.09944687716063609,15619.0,Nightlife,0.4590934351366371,HAVANA-ARMA
33,0.5235186316432499,0.055888874396765355,0.10099581639266984,15334.0,Nightlife,0.4574035816832381,HAVANA-ARMA
34,0.5078761542639869,0.05991285403050109,0.10718175044420244,15606.0,Nightlife,0.463009274360802,HAVANA-ARMA
