,precision,recall,f1-score,support,category,accuracy,Model
0,0.3469097491595552,0.10363674990826043,0.15959550895977395,51777.0,Shopping,0.4459693462520437,HAVANA-NO-AGG
1,0.3411034714070099,0.11849003844809507,0.17588309049245535,51498.0,Shopping,0.4480513204629473,HAVANA-NO-AGG
2,0.3118742020025536,0.09017779073156514,0.1399029331082507,51465.0,Shopping,0.446351914047084,HAVANA-NO-AGG
3,0.3239443332380135,0.13156417552213384,0.18712918989606994,51663.0,Shopping,0.4487896616851711,HAVANA-NO-AGG
4,0.33654612653090804,0.08972005950425996,0.14167175106772423,51761.0,Shopping,0.44827419569183186,HAVANA-NO-AGG
5,0.5180897250361794,0.031782670454545456,0.059891258887494775,22528.0,Community,0.4459693462520437,HAVANA-NO-AGG
6,0.4960212201591512,0.02504576097147194,0.04768380790480238,22399.0,Community,0.4480513204629473,HAVANA-NO-AGG
7,0.5524553571428571,0.021834061135371178,0.04200789239190393,22671.0,Community,0.446351914047084,HAVANA-NO-AGG
8,0.4748257164988381,0.027244444444444446,0.05153209196755076,22500.0,Community,0.4487896616851711,HAVANA-NO-AGG
9,0.47311178247734137,0.035434674390188714,0.06593128999663186,22097.0,Community,0.44827419569183186,HAVANA-NO-AGG
10,0.4249550881395262,0.9411197911270437,0.5855222870403197,96518.0,Food,0.4459693462520437,HAVANA-NO-AGG
11,0.4283891834469938,0.9351035196687371,0.5875913120971047,96600.0,Food,0.4480513204629473,HAVANA-NO-AGG
12,0.42639238931989165,0.9399805487729173,0.5866634810038712,96652.0,Food,0.446351914047084,HAVANA-NO-AGG
13,0.4314031147852435,0.9176614440852192,0.5868985330518949,96504.0,Food,0.4487896616851711,HAVANA-NO-AGG
14,0.4279409491058503,0.9426413069278321,0.5886473632315317,96899.0,Food,0.44827419569183186,HAVANA-NO-AGG
15,0.7959479015918958,0.18383230673733467,0.2986811481768813,20943.0,Entertainment,0.4459693462520437,HAVANA-NO-AGG
16,0.7803729515916369,0.19677970931889427,0.3143041383757539,21054.0,Entertainment,0.4480513204629473,HAVANA-NO-AGG
17,0.8195867026055705,0.21914188247729785,0.3458184851012207,20813.0,Entertainment,0.446351914047084,HAVANA-NO-AGG
18,0.731302822516345,0.21954138541816268,0.33770250368188515,20889.0,Entertainment,0.4487896616851711,HAVANA-NO-AGG
19,0.693560548936812,0.22097828176052278,0.3351674379623219,20812.0,Entertainment,0.44827419569183186,HAVANA-NO-AGG
20,0.950015475085113,0.2968568665377176,0.4523616535259008,20680.0,Travel,0.4459693462520437,HAVANA-NO-AGG
21,0.9321789321789322,0.31635651322233105,0.47239488117001827,20420.0,Travel,0.4480513204629473,HAVANA-NO-AGG
22,0.9619405423064358,0.2828258572663529,0.4371288598574822,20822.0,Travel,0.446351914047084,HAVANA-NO-AGG
23,0.933998360207707,0.3273310665198027,0.4847689634384198,20881.0,Travel,0.4487896616851711,HAVANA-NO-AGG
24,0.9223370657479185,0.31026656364689975,0.46433475464334756,20708.0,Travel,0.44827419569183186,HAVANA-NO-AGG
25,0.6074408901251739,0.17072217336069578,0.26653444198642157,20466.0,Outdoors,0.4459693462520437,HAVANA-NO-AGG
26,0.6040206565842863,0.1588649041959738,0.2515650804624189,20615.0,Outdoors,0.4480513204629473,HAVANA-NO-AGG
27,0.5837097259861488,0.19117357001972388,0.2880172349751133,20280.0,Outdoors,0.446351914047084,HAVANA-NO-AGG
28,0.566611220323605,0.1823535137239634,0.2759103125805383,20548.0,Outdoors,0.4487896616851711,HAVANA-NO-AGG
29,0.6114350197479782,0.15908201213544726,0.2524754397545917,20436.0,Outdoors,0.44827419569183186,HAVANA-NO-AGG
30,0.5142002989536621,0.022323166774821546,0.04278873064245289,15410.0,Nightlife,0.4459693462520437,HAVANA-NO-AGG
31,0.4993581514762516,0.024720386375190646,0.04710868907054193,15736.0,Nightlife,0.4480513204629473,HAVANA-NO-AGG
32,0.45771578029642546,0.033612907356424866,0.06262674460217106,15619.0,Nightlife,0.446351914047084,HAVANA-NO-AGG
33,0.5433628318584071,0.02002086865788444,0.03861878105541229,15334.0,Nightlife,0.4487896616851711,HAVANA-NO-AGG
34,0.5354330708661418,0.017429193899782137,0.0337594638202805,15606.0,Nightlife,0.44827419569183186,HAVANA-NO-AGG
