,precision,recall,f1-score,support,category,accuracy,Model
0,0.30631970260223046,0.007957201073835874,0.015511464176800572,51777.0,Shopping,0.4272799027069692,PGC-NN
1,0.25815217391304346,0.01475785467396792,0.027919620880937513,51498.0,Shopping,0.4152592198838605,PGC-NN
2,0.283303730017762,0.037190323520839404,0.06574947184005771,51465.0,Shopping,0.4242837928173903,PGC-NN
3,0.2988956180976131,0.01623986218376788,0.030805948228382597,51663.0,Shopping,0.41917855661467707,PGC-NN
4,0.2988992379339543,0.02727922567183787,0.049995574046206956,51761.0,Shopping,0.41987121404322664,PGC-NN
5,0.4437246963562753,0.024325284090909092,0.04612212262761436,22528.0,Community,0.4272799027069692,PGC-NN
6,0.35174953959484345,0.008527166391356757,0.016650684334408507,22399.0,Community,0.4152592198838605,PGC-NN
7,0.45590062111801244,0.016188081690265095,0.03126597376043619,22671.0,Community,0.4242837928173903,PGC-NN
8,0.5013698630136987,0.008133333333333333,0.016006997594576865,22500.0,Community,0.41917855661467707,PGC-NN
9,0.351123595505618,0.005656876499072272,0.011134369571994833,22097.0,Community,0.41987121404322664,PGC-NN
10,0.40883155865495335,0.9821691290743696,0.5773422535940388,96518.0,Food,0.4272799027069692,PGC-NN
11,0.403893483703928,0.9802277432712215,0.5720706977643387,96600.0,Food,0.4152592198838605,PGC-NN
12,0.4109107505694111,0.9687642262964036,0.5770571214628419,96652.0,Food,0.4242837928173903,PGC-NN
13,0.4048749631364571,0.9816069800215536,0.5732899614191693,96504.0,Food,0.41917855661467707,PGC-NN
14,0.40737414302638386,0.9829926005428332,0.5760289795474063,96899.0,Food,0.41987121404322664,PGC-NN
15,0.7290583477758521,0.060258797688965283,0.11131692687659875,20943.0,Entertainment,0.4272799027069692,PGC-NN
16,0.7625664078463424,0.08862923909945854,0.15880175311688866,21054.0,Entertainment,0.4152592198838605,PGC-NN
17,0.7073083778966132,0.09532503723634267,0.16800745194343297,20813.0,Entertainment,0.4242837928173903,PGC-NN
18,0.7068965517241379,0.007851022069031547,0.01552956772880072,20889.0,Entertainment,0.41917855661467707,PGC-NN
19,0.7237977805178791,0.028204881798962137,0.05429403875502937,20812.0,Entertainment,0.41987121404322664,PGC-NN
20,0.8086994471923189,0.26881044487427463,0.4034985845975176,20680.0,Travel,0.4272799027069692,PGC-NN
21,0.8215407352669499,0.21777668952007836,0.34428831339759225,20420.0,Travel,0.4152592198838605,PGC-NN
22,0.8523655217109527,0.3158198059744501,0.46087535480253705,20822.0,Travel,0.4242837928173903,PGC-NN
23,0.8578466714732036,0.3418897562377281,0.48892237098928193,20881.0,Travel,0.41917855661467707,PGC-NN
24,0.8130382775119617,0.32823063550318715,0.46766203385165817,20708.0,Travel,0.41987121404322664,PGC-NN
25,0.7870606214977076,0.15098211668132513,0.25336175795342736,20466.0,Outdoors,0.4272799027069692,PGC-NN
26,0.8295218295218295,0.01935483870967742,0.03782707622298066,20615.0,Outdoors,0.4152592198838605,PGC-NN
27,0.0,0.0,0.0,20280.0,Outdoors,0.4242837928173903,PGC-NN
28,0.0,0.0,0.0,20548.0,Outdoors,0.41917855661467707,PGC-NN
29,1.0,9.786651008025054e-05,0.0001957138663274293,20436.0,Outdoors,0.41987121404322664,PGC-NN
30,0.3251121076233184,0.028228423101881894,0.051946501074755194,15410.0,Nightlife,0.4272799027069692,PGC-NN
31,0.3729887859580692,0.04861464158617183,0.08601787822567043,15736.0,Nightlife,0.4152592198838605,PGC-NN
32,0.37278854254422916,0.05666175811511621,0.09837158895125882,15619.0,Nightlife,0.4242837928173903,PGC-NN
33,0.39511823035850496,0.06756227990087388,0.11539318333704611,15334.0,Nightlife,0.41917855661467707,PGC-NN
34,0.3534136546184739,0.005638856849929514,0.011100599180069379,15606.0,Nightlife,0.41987121404322664,PGC-NN
