,precision,recall,f1-score,support,category,accuracy,Model
0,0.47943722943722944,0.025667767541572514,0.04872683275587087,51777.0,Shopping,0.4506165382044281,HAVANA-GAT
1,0.467906976744186,0.01953473921317333,0.03750372800477184,51498.0,Shopping,0.44592504892840745,HAVANA-GAT
2,0.43297587131367293,0.025104439910618868,0.04745725357674154,51465.0,Shopping,0.4550784868034246,HAVANA-GAT
3,0.4512263099219621,0.03133770783733039,0.05860527411268574,51663.0,Shopping,0.44906350299413256,HAVANA-GAT
4,0.4319692716797163,0.056490407836015534,0.09991457372287715,51761.0,Shopping,0.44869703888949297,HAVANA-GAT
5,0.6831683168316832,0.006125710227272727,0.012142542894852618,22528.0,Community,0.4506165382044281,HAVANA-GAT
6,0.4838709677419355,0.0006696727532479129,0.0013374944271065537,22399.0,Community,0.44592504892840745,HAVANA-GAT
7,0.88,0.016496846191169336,0.03238656044336682,22671.0,Community,0.4550784868034246,HAVANA-GAT
8,0.6590909090909091,0.0038666666666666667,0.0076882290562036056,22500.0,Community,0.44906350299413256,HAVANA-GAT
9,0.7429718875502008,0.008372177218626963,0.016557773203257853,22097.0,Community,0.44869703888949297,HAVANA-GAT
10,0.420220245242676,0.9753517478605027,0.5873757179268798,96518.0,Food,0.4506165382044281,HAVANA-GAT
11,0.41452316111685983,0.9911180124223602,0.5845608100888667,96600.0,Food,0.44592504892840745,HAVANA-GAT
12,0.4214264984931354,0.9765861027190332,0.5887776138628376,96652.0,Food,0.4550784868034246,HAVANA-GAT
13,0.4202353490292526,0.9702810246207411,0.5864675781812716,96504.0,Food,0.44906350299413256,HAVANA-GAT
14,0.420883628584738,0.960402068132798,0.5852771925411151,96899.0,Food,0.44869703888949297,HAVANA-GAT
15,0.9009936766034327,0.23812252303872417,0.37669008233250245,20943.0,Entertainment,0.4506165382044281,HAVANA-GAT
16,0.9343656112780218,0.19203001804882683,0.3185847681336433,21054.0,Entertainment,0.44592504892840745,HAVANA-GAT
17,0.7480073574494175,0.29308605198673904,0.4211543772438553,20813.0,Entertainment,0.4550784868034246,HAVANA-GAT
18,0.8813808299669482,0.2297860117765331,0.3645338902601101,20889.0,Entertainment,0.44906350299413256,HAVANA-GAT
19,0.7057057057057057,0.21453968864116857,0.3290467592763182,20812.0,Entertainment,0.44869703888949297,HAVANA-GAT
20,0.6982520699172033,0.40372340425531916,0.5116279069767442,20680.0,Travel,0.4506165382044281,HAVANA-GAT
21,0.9012919896640826,0.3416258570029383,0.4954545454545455,20420.0,Travel,0.44592504892840745,HAVANA-GAT
22,0.8443028238655093,0.36903275381807704,0.5135848678274237,20822.0,Travel,0.4550784868034246,HAVANA-GAT
23,0.6835008159409087,0.38111201570805997,0.48936170212765956,20881.0,Travel,0.44906350299413256,HAVANA-GAT
24,0.8286387490628682,0.37362372030133284,0.5150274588117824,20708.0,Travel,0.44869703888949297,HAVANA-GAT
25,0.7711389703921046,0.14125867292094205,0.23877761717943424,20466.0,Outdoors,0.4506165382044281,HAVANA-GAT
26,0.9573191063687896,0.13926752364782924,0.24316083679173373,20615.0,Outdoors,0.44592504892840745,HAVANA-GAT
27,0.8665922411387106,0.15310650887573965,0.2602355110421992,20280.0,Outdoors,0.4550784868034246,HAVANA-GAT
28,0.7359258421885598,0.1584095775744598,0.26070241480116935,20548.0,Outdoors,0.44906350299413256,HAVANA-GAT
29,0.6719528772088809,0.14513603444901155,0.2387122736418511,20436.0,Outdoors,0.44869703888949297,HAVANA-GAT
30,0.7738095238095238,0.004218040233614536,0.008390344649541758,15410.0,Nightlife,0.4506165382044281,HAVANA-GAT
31,0.7547169811320755,0.005083884087442806,0.010099734881959348,15736.0,Nightlife,0.44592504892840745,HAVANA-GAT
32,0.6262626262626263,0.003969524297330175,0.007889044407685456,15619.0,Nightlife,0.4550784868034246,HAVANA-GAT
33,0.5799256505576208,0.010173470718664406,0.019996154585656605,15334.0,Nightlife,0.44906350299413256,HAVANA-GAT
34,0.7232142857142857,0.005190311418685121,0.010306654790685838,15606.0,Nightlife,0.44869703888949297,HAVANA-GAT
