Categoria,Precision,Recall,F1-Score
Shopping,0.42334289236991973,0.3826367950827744,0.40158245266922094
Community,0.41708482423255366,0.36531565079326284,0.3892378080978104
Food,0.4334659736406528,0.6988587008180346,0.5350258712315978
Entertainment,0.3756737405162201,0.10433782501954185,0.16324992239221306
Travel,0.39455361285047524,0.19531464956738726,0.2610714532681749
Outdoors,0.3507497395763698,0.13617173961652126,0.19612219193248978
Nightlife,0.4128838498219343,0.08310195651657012,0.13829918858863993
