Category,Task,Precision,Recall,F1-Score,Support
Community,category,0.5069124423963134,0.06399069226294357,0.11363636363636363,1719
Entertainment,category,0.35,0.03233256351039261,0.05919661733615222,866
Food,category,0.417201540436457,0.4322766570605187,0.42460533478497553,4511
Nightlife,category,0.609375,0.1315345699831366,0.21636615811373092,593
Outdoors,category,0.0,0.0,0.0,1009
Shopping,category,0.38633867779486053,0.7453389830508474,0.5088962823665558,4720
Travel,category,0.44808743169398907,0.08436213991769548,0.141991341991342,972
macro avg,category,0.3882735846173743,0.21283365796936207,0.20924172831844576,14390
weighted avg,category,0.3945029572749422,0.4006949270326616,0.33567136996985486,14390
Overall Accuracy,category,,,0.4006949270326616,
