Category,Task,Precision,Recall,F1-Score,Support
Community,next,0.2949762693650936,0.1340713907769954,0.18435191403626594,24569
Entertainment,next,0.34446287847366236,0.16887804382085303,0.22664165103189493,19671
Food,next,0.33222694881729753,0.40730467711931967,0.3659548432346928,60208
Nightlife,next,0.3285475792988314,0.09181673975926098,0.14352392065344224,10717
Outdoors,next,0.1793103448275862,0.0014276301339775973,0.002832706869314158,18212
Shopping,next,0.3444998752806186,0.5130862821584471,0.41222251240532776,53835
Travel,next,0.6069952657662651,0.711375023195398,0.655053098328022,53890
macro avg,next,0.3472884516899078,0.28970854099489307,0.2843686637941371,241102
weighted avg,next,0.3818702932538923,0.4069107680566731,0.3737155429414299,241102
Overall Accuracy,next,,,0.4069107680566731,
