Category,Task,Precision,Recall,F1-Score,Support
Community,category,0.47035573122529645,0.07,0.12186379928315412,1700
Entertainment,category,0.44776119402985076,0.03420752565564424,0.0635593220338983,877
Food,category,0.41598984771573605,0.3698104693140794,0.39154323936932633,4432
Nightlife,category,0.5566502463054187,0.19482758620689655,0.2886334610472541,580
Outdoors,category,0.14285714285714285,0.0009345794392523365,0.0018570102135561746,1070
Shopping,category,0.3877151396475317,0.7896725440806045,0.5200801824842746,4764
Travel,category,0.43577981651376146,0.0981404958677686,0.16020236087689713,968
macro avg,category,0.4081584454706769,0.22251331436632077,0.22110562504405154,14391
weighted avg,category,0.40168038278811563,0.4001806684733514,0.3335669449037439,14391
Overall Accuracy,category,,,0.4001806684733514,
