Category,Task,Precision,Recall,F1-Score,Support
Community,next,0.2927706902191691,0.14586049543676663,0.19471336886761667,24544
Entertainment,next,0.4373529411764706,0.1439078679957418,0.2165586543362703,20666
Food,next,0.3369734216422022,0.44987251569037656,0.38532341268452475,61184
Nightlife,next,0.3165016501650165,0.0866931838727174,0.13610559182514903,11062
Outdoors,next,0.0851063829787234,0.0002264364562694594,0.00045167118337850043,17665
Shopping,next,0.35182263789509266,0.461529933481153,0.39927747050736917,54120
Travel,next,0.6016272110297654,0.7456411954632006,0.6659371372377946,60395
macro avg,next,0.3460221335866342,0.2905330897708894,0.2854810438060147,249636
weighted avg,next,0.38945482068018383,0.4208247207934753,0.3852482121699182,249636
Overall Accuracy,next,,,0.4208247207934753,
