Category,Task,Precision,Recall,F1-Score,Support
Community,next,0.33187523773297833,0.18546072908916994,0.23794913751960184,28227
Entertainment,next,0.4236517218973359,0.13201052844705405,0.2012966965112689,19756
Food,next,0.33412392855960904,0.4627513292183585,0.38805645063132205,65452
Nightlife,next,0.3465461964441854,0.10372502835208933,0.15966160870149054,11463
Outdoors,next,0.09523809523809523,0.0028586130009719286,0.005550621669626998,17491
Shopping,next,0.3542137595404622,0.4510192333739672,0.396797497579504,59064
Travel,next,0.6147101878095119,0.7242486514256358,0.6649988207149836,54502
macro avg,next,0.35719416103173973,0.29458201612960666,0.29347297618968543,255955
weighted avg,next,0.38940075344696207,0.41211150397530816,0.38170763890362064,255955
Overall Accuracy,next,,,0.41211150397530816,
