Category,Precision,Recall,F1-Score,Support
Community,0.3158836223669903,0.1690382033174445,0.21977933680073874,26391.799999999996
Entertainment,0.38773364176136066,0.14078860780909344,0.20546822755503333,20110.6
Food,0.33400193875709483,0.46400895697338346,0.38687516861631427,62572.600000000006
Nightlife,0.3184048949380803,0.09226553780814462,0.14303688500797923,10844.599999999999
Outdoors,0.13911846460888097,0.0012698199164460121,0.0024969358251595206,17923.6
Shopping,0.35295037248364936,0.44959883261109246,0.392032706532939,56041.399999999994
Travel,0.6081816488615206,0.7207015630927804,0.6595775489823147,55472.200000000004
macro avg,0.3508963691110824,0.2910959316469121,0.28703811561721126,
