Category,Precision,Recall,F1-Score,Support
Community,0.46674598611405616,0.07280471457163652,0.12568573626662058,1713.2
Entertainment,0.4407669686003269,0.032231551635387615,0.05980481703175261,882.6
Food,0.4193387741906496,0.4117757982617324,0.415174503730198,4474.4
Nightlife,0.6040748467055145,0.1392670968623334,0.22082328895120792,584.0
Outdoors,0.19264550264550262,0.002634467105681604,0.005166173871777548,1042.6000000000001
Shopping,0.38855279526935227,0.7680758894609092,0.515991951671869,4722.8
Travel,0.43789144556967263,0.07891785867566835,0.13334001464010495,970.8
macro avg,0.4214309027278679,0.21510105379619268,0.2108552123090758,
