Category,Task,Precision,Recall,F1-Score,Support
Community,next,0.34787674779906785,0.19205203345007504,0.24747870135850794,27982
Entertainment,next,0.37830648736515443,0.12896075764445117,0.19235104064918476,19851
Food,next,0.3322039310295892,0.5787708806576731,0.4221191612616014,64713
Nightlife,next,0.3210768220617203,0.09592937714565963,0.14772298164791178,10195
Outdoors,next,0.2109375,0.0015097293670319838,0.0029980013324450365,17884
Shopping,next,0.3762506634167437,0.32768951585290695,0.35029509996797364,58412
Travel,next,0.601834029701266,0.7138959013959014,0.6530927616217364,53872
macro avg,next,0.36692659733907734,0.2912583136448142,0.2880082496913373,252909
weighted avg,next,0.3961397311950214,0.411187423144293,0.3766746517490802,252909
Overall Accuracy,next,,,0.411187423144293,
