Category,Task,Precision,Recall,F1-Score,Support
Community,category,0.5,0.0785876993166287,0.13582677165354332,1756
Entertainment,category,0.4117647058823529,0.039414414414414414,0.07194244604316546,888
Food,category,0.4213012669100279,0.43745819397993313,0.4292277401006344,4485
Nightlife,category,0.49122807017543857,0.15162454873646208,0.2317241379310345,554
Outdoors,category,0.25,0.000946073793755913,0.001885014137606032,1057
Shopping,category,0.3851014299966744,0.7405670432743552,0.5067094515752626,4691
Travel,category,0.38636363636363635,0.07090719499478623,0.1198237885462555,959
macro avg,category,0.4065370156183043,0.21707216693004794,0.21387704999821452,14390
weighted avg,category,0.40629653420287176,0.40041695621959694,0.337021250894646,14390
Overall Accuracy,category,,,0.40041695621959694,
