Category,Task,Precision,Recall,F1-Score,Support
Community,category,0.4371069182389937,0.08424242424242424,0.14126016260162602,1650
Entertainment,category,0.43333333333333335,0.030338389731621937,0.05670665212649945,857
Food,category,0.42323066071008697,0.40214477211796246,0.41241837552984306,4476
Nightlife,category,0.7540983606557377,0.071875,0.1312410841654779,640
Outdoors,category,0.2,0.001998001998001998,0.003956478733926805,1001
Shopping,category,0.3995390739576786,0.7970741901776385,0.5322726955550904,4785
Travel,category,0.4825174825174825,0.07026476578411406,0.12266666666666666,982
macro avg,category,0.4471179756304733,0.20827679200739474,0.20007458791130434,14391
weighted avg,category,0.4207784800666172,0.4097005072614829,0.3393092739915928,14391
Overall Accuracy,category,,,0.4097005072614829,
