,fold,Model,accuracy,macro avg,weighted avg
0,1,HAVANA-NO-AGG,0.4411618957246033,0.2802695534906175,0.36980847946864553
1,2,HAVANA-NO-AGG,0.4308608782750804,0.26099527855243554,0.3469265232696431
2,3,HAVANA-NO-AGG,0.4423111392271601,0.28461222901632716,0.3661728391780623
3,4,HAVANA-NO-AGG,0.4351626337708894,0.2637903288670941,0.35370178615150233
4,5,HAVANA-NO-AGG,0.4372535374623057,0.2701268754426857,0.3573390132347269
