,fold,Model,accuracy,macro avg,weighted avg
0,1,PGC-NN,0.3798829669460699,0.18256507332696176,0.2733371292468345
1,2,PGC-NN,0.347777953503084,0.14019324900388078,0.2446532412879178
2,3,PGC-NN,0.3811903632242079,0.18003304661314462,0.2760035181310166
3,4,PGC-NN,0.3804734039749064,0.17189823353574377,0.2760800402083595
4,5,PGC-NN,0.3813500347947112,0.18274105215249295,0.2883371323306726
