,fold,Model,accuracy,macro avg,weighted avg
0,1,HAVANA,0.47825399335758345,0.37172395721337714,0.434801662573956
1,2,HAVANA,0.4674152564710844,0.35118452765508085,0.40931118849075493
2,3,HAVANA,0.48041541462386,0.36249526215864974,0.4310250475019988
3,4,HAVANA,0.46568611945806315,0.3535770308176702,0.4100979296054271
4,5,HAVANA,0.4724383711857616,0.3704287421696848,0.42491031117901423
